strain,fit,x1,x2,x3
bgt127,all,0.8737221430629941,0.05205228095297719,13.333118330753189
jt305,all,0.32737888328210235,0.014602518981498908,13.697283981424754
gob33,all,0.34606899996741425,0.013595955824015987,27.35548592403912
y55,all,0.6062394482911284,0.017811270253168608,30.314147861293478
bh1514,all,1.1396338445357248,0.0361445647654094,6.717652384235645
ea387,all,1.0163092481213354,0.02689410020457609,7.411082853558143
bgt127,48h,0.8781983447698939,0.05150906917620231,13.165008544390089
jt305,48h,0.3394183898583388,0.022794802343608447,14.346831803836674
gob33,48h,0.3447638803558403,0.023445446391154024,32.071064539690894
y55,48h,0.5551746186250713,0.037008874028650725,44.01823939508376
bh1514,48h,1.1127383414758585,0.038333663159393655,7.065992565175022
ea387,48h,0.9958759346408136,0.029101264857511286,7.78309310007444
bgt127,A,0.8855101832490226,0.04847334745353004,12.818057043381613
bgt127,B,0.8718423697519841,0.05582264369708998,13.855284805037943
bgt127,C,0.87711668302319,0.050208207048008595,12.829237943605362
jt305,A,0.31792447048252004,0.02357013145036316,15.910681409574009
jt305,B,0.32738445226883983,0.0239365644755292,14.927129798677267
jt305,C,0.3734387583847548,0.025791758071360707,13.5788511403828
gob33,A,0.3426820729816611,0.01520199259657558,28.163056680547932
gob33,B,0.35417574710151295,0.03590216255872994,36.52078526834584
gob33,C,0.3356110966533666,0.009339587252622399,27.928025248957923
y55,A,0.5315693317603939,0.04402192420485082,55.17595094471925
y55,B,0.5622321945518182,0.029873612081143225,36.65457723514109
y55,C,0.5800440260820561,0.037450782720234874,41.25094211536426
bh1514,A,1.1622217322528756,0.038244014505753106,6.849060755447504
bh1514,B,0.9583068134818354,0.04228907988367981,9.004521152255862
bh1514,C,1.1809699837566932,0.03667321414695023,6.186828180852822
ea387,A,1.3710880799261758,0.010218102637219145,4.060716795618487
ea387,B,0.8876968215606824,0.039326802377140604,9.122643008708229
ea387,C,0.9293533081644486,0.04045622968412342,10.87952516207964
